Country,GDP Per Capita,Total GDP,Developing Country,Developing Country Binary,,Tests Performed,Test.per.pop,Tests Per Thousand,,Alcoholic Beverages_fat,Animal Products_fat,Animal fats_fat,"Aquatic Products, Other_fat",Cereals_fat,Eggs_fat,Fish.Seafood_fat,Fruits_fat,Meat_fat,Miscellaneous_fat,Milk_fat,Offals_fat,Oilcrops_fat,Pulses_fat,Spices_fat,Starchy Roots_fat,Stimulants_fat,Sugar Crops_fat,Sugar.Sweeteners_fat,Treenuts_fat,Vegetal Products_fat,Vegetable Oils_fat,Vegetables_fat,,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,,Mortality Rate,,Alcoholic Beverages_kcal,Animal Products_kcal,Animal fats_kcal,"Aquatic Products, Other_kcal",Cereals _kcal,Eggs_kcal,Fish.Seafood_kcal,Fruits_kcal,Meat_kcal,Milk_kcal,Miscellaneous_kcal,Offals_kcal,Oilcrops_kcal,Pulses_kcal,Spices_kcal,Starchy Roots_kcal,Stimulants_kcal,Sugar Crops_kcal,Sugar.Sweeteners_kcal,Treenuts_kcal,Vegetal Products_kcal,Vegetable Oils_kcal,Vegetables_kcal,,Alcoholic Beverages_kg,Animal fats_kg,Animal Products_kg,"Aquatic Products, Other_kg",Cereals_kg,Eggs_kg,Fish.Seafood_kg,Fruits_kg,Meat_kg,Milk_kg,Miscellaneous_kg,Offals_kg,Oilcrops_kg,Pulses_kg,Spices_kg,Starchy Roots_kg,Stimulants_kg,Sugar.Sweeteners_kg,Sugar Crops_kg,Treenuts_kg,Vegetable Oils_kg,Vegetables_kg,Vegetal Products_kg,,Alcoholic Beverages_protein,Animal Products_protein,Animal fats_protein,"Aquatic Products, Other_protein",Cereals_protein,Eggs_protein,Fish.Seafood_protein,Fruits_protein,Meat_protein,Milk_protein,Offals_protein,Oilcrops_protein,Pulses_protein,Spices_protein,Starchy Roots_protein,Stimulants_protein,Sugar Crops_protein,Sugar.Sweeteners_protein,Treenuts_protein,Vegetal Products_protein,Vegetable Oils_protein,Vegetables_protein,Miscellaneous_protein
Cambodia,1.51,"24,542.47",Y,1,,,0,0,,0,18.851,0.8839,0,9.4179,0.5639,4.8461,0.2438,11.7799,0.1372,0.6248,0.1372,8.2902,0.2743,0.5029,0.3657,0.061,0.0762,0,0.3048,31.149,11.2313,0.2591,,3.5,16.4,0.000739977,0,0.000727846,1.21E-05,16487000,,0,,1.4153,4.0437,0.1011,0,33.0166,0.1011,1.7792,0.647,1.7792,0.2022,0.182,0.0809,1.8601,0.93,0.1415,1.6983,0.0404,0.1415,4.1852,0.0404,45.9361,1.3142,0.3639,,4.5783,0.0377,6.08,0,24.8906,0.131,4.2369,2.3184,1.2247,0.3285,0.4853,0.1211,0.79,0.4903,0.0784,3.0519,0.126,2.9923,0.8367,0.0238,0.2511,3.0072,43.9195,,0.4817,14.6494,0.0153,0,25.843,0.2982,10.2607,0.2982,3.2571,0.3441,0.474,4.5722,2.2173,0.1988,0.5046,0.0535,0.0153,0,0.0382,35.3544,0,0.8946,0.2294
Cameroon,1.53,"38,675.21",Y,1,,,0,0,,0,6.3264,0.7838,0,6.9796,0.0746,0.9051,0.7931,3.3685,0.028,1.1197,0.084,9.7509,0.8491,0.7465,0.5319,0.1213,0,0,0.1026,43.6689,23.2155,0.5505,,9.5,9.9,0.008131087,0.000247333,0.003682949,0.004200804,25876000,,3.041825095,,1.5263,2.1669,0.1507,0,20.5201,0.0188,0.5464,3.5048,0.9987,0.4145,0.0565,0.0565,2.3931,3.5613,0.6595,8.1213,0.0377,0,1.6017,0.3203,47.8236,4.1455,1.3755,,5.156,0.0146,2.933,0,10.3112,0.0256,1.3206,7.2151,0.876,0.6289,0.0717,0.0673,0.8658,1.4734,0.283,11.3883,0.0234,0.6479,0,0.1324,0.6398,8.859,47.067,,0.5688,8.1066,0.0144,0,19.7696,0.072,3.4197,1.5119,3.4845,0.8063,0.3168,3.8301,8.9777,0.8567,3.3261,0.1008,0,0,0.3168,41.8934,0.0072,2.5414,0.0792
Canada,46.23,"1,713,341.70",N,0,,942526,0.025192473,25.1924732,,0,23.1663,9.7895,0,1.544,1.2437,0.4244,0.4244,7.8211,0.062,3.8812,0.0065,2.36,0.1991,0.0979,0.0588,0.1795,0,0,1.211,26.8353,20.4733,0.222,,31.3,0.5,0.168965333,0.011199316,0.072183466,0.085582552,37413000,,6.628173693,,1.5748,12.6986,3.9656,0,13.0279,0.7731,0.5297,1.8182,4.796,2.6199,0.2577,0.0143,1.3171,1.5748,0.1432,1.5175,0.2434,0,6.199,0.587,37.2942,7.9599,1.088,,4.8441,0.8084,16.0365,0.006,6.4236,0.7668,1.2148,5.0692,4.4707,8.7596,0.6071,0.0097,0.4334,0.6304,0.0574,3.494,0.4053,5.0237,0,0.1439,1.3441,5.4961,33.9551,,0.3458,25.1828,0.6868,0.0049,12.9249,2.0553,2.8755,0.6868,13.7253,5.7905,0.0445,2.416,3.7451,0.1532,1.3785,0.6374,0,0.0099,0.5534,24.8172,0.084,1.5909,0.2915
Central African Republic,0.4757,"2,219.89",Y,1,,,0,0,,0,18.5453,2.8767,0,2.7645,0.1122,0.5509,0.4998,12.9144,0.0102,1.7342,0.3468,7.0183,0.4794,0.0102,1.0609,0.0408,0,0,0,31.4598,19.4838,0.0918,,6.3,59.6,0.001791359,0,0.000210748,0.001580611,4745000,,0,,0.5402,7.3927,0.7393,0,8.9565,0.0569,0.4265,1.905,4.9758,0.8814,0.0284,0.3412,2.3031,2.2747,0,19.6759,0.0853,0,1.706,0,42.5931,4.8052,0.3128,,1.7435,0.1228,6.9032,0,3.8844,0.051,0.8041,4.5543,3.7346,1.7581,0.0614,0.4338,0.697,0.8936,0.0031,27.7128,0.2008,0.7022,0,0,0.724,1.9214,43.0942,,0.2045,21.8538,0.0969,0,8.8276,0.1507,2.433,1.0012,15.3192,1.6363,2.2069,3.6064,5.5765,0.0108,7.7726,0.3876,0,0.0431,0,28.1516,0,0.689,0.0323
Chad,0.7283,"11,273.12",Y,1,,,0,0,,0,16.8564,3.1261,0,7.986,0.0701,0.648,0.0701,7.8546,0.0088,4.4308,0.7268,16.7863,0.5342,0,0.1926,0.0263,0,0,0,33.1436,7.5131,0.0263,,4.8,37.5,0.001039755,0.000103976,0.000262997,0.000672783,16350000,,10,,0.1436,6.9411,0.7659,0,27.8124,0.0239,0.4787,0.3112,3.0158,2.0345,0.0239,0.5984,5.5529,2.0345,0,3.1833,0,0,2.0823,0,43.0828,1.8191,0.0957,,0.8297,0.2023,12.2804,0,21.6017,0.0495,1.0451,1.0669,3.8543,5.9037,0.064,1.2256,3.0304,1.4133,0,6.991,0.0087,1.3449,0,0,0.4556,0.9141,37.7189,,0.0567,15.4353,0.0425,0,22.6744,0.0709,2.2689,0.0993,7.4872,2.7723,2.8006,6.6931,3.7365,0,1.1132,0.0142,0,0,0,34.5576,0,0.1631,0.0142
Chile,15.92,"298,231.13",Y,1,,232108,0.012147799,12.14779924,,0,32.5206,5.2608,0,3.1847,1.4085,0.5204,0.4186,20.2172,0.0339,5.0798,0.0396,1.1596,0.2093,0.0283,0.181,0.4356,0,0,0.7241,17.4737,10.844,0.2602,,28.8,2.7,0.115224787,0.001439263,0.056052756,0.057732768,19107000,,1.24909157,,1.5942,12.3547,1.3783,0,19.5782,0.631,0.3985,1.2786,7.4228,2.4909,0.083,0.0332,0.3819,0.5812,0.0332,2.1421,0.1827,0,7.6387,0.2325,37.6453,2.823,1.096,,4.969,0.1782,15.0394,0.0155,10.8579,0.7757,0.8711,3.9109,6.1492,6.9966,0.3024,0.0525,0.2588,0.2677,0.0133,4.7183,0.1353,3.5582,0,0.119,0.5435,5.3092,34.9584,,0.2314,25.6899,0.1016,0,17.7775,1.6141,2.0374,0.4966,16.5077,5.226,0.1919,0.4571,1.3996,0.0282,1.8285,0.316,0,0,0.2653,24.3185,0.0169,1.4222,0.0734
China,9.77,"13,608,151.86",Y,1,,,0,0,,0,31.0465,3.4468,0.0097,2.5989,2.3066,0.9817,0.2344,21.6062,0.1517,2.2156,0.4784,1.8351,0.0234,0.0676,0.0565,0.9362,0,0.0179,1.7979,18.9535,10.659,0.5763,,6.6,8.5,0.006006166,0.000331681,0.00564151,3.30E-05,1398030000,,5.522341845,,1.2768,16.1844,1.1773,0.0209,17.3827,1.2349,1.2872,1.2924,9.8896,1.889,0.5128,0.6698,1.0518,0.1727,0.0837,1.4023,0.4762,0.0052,3.3436,0.7797,33.8235,3.5791,2.4645,,2.3224,0.0866,13.424,0.0542,8.9298,1.2059,3.3435,4.2451,6.0732,1.7962,1.3773,0.8643,0.4401,0.0704,0.0364,1.9016,0.1781,3.1065,0.0253,0.2665,0.579,13.099,36.5744,,0.1648,30.6446,0.0471,0.0515,10.8868,2.7059,5.9326,0.437,16.3074,2.4705,3.1282,1.7892,0.3149,0.0765,0.5253,0.387,0.0015,0.0088,0.6092,19.3546,0.0059,3.6829,0.4679
Colombia,6.67,"331,047.04",Y,1,,131110,0.002602732,2.602731568,,0,21.4008,1.7819,0,1.7347,1.7819,0.3717,1.2273,11.3996,0.0177,5.9535,0.118,0.9854,0.1652,0.1239,0.2832,0.2655,0,0,0.5251,28.5992,23.0824,0.1829,,22.1,4.8,0.017098106,0.000750387,0.003996109,0.01235161,50374000,,4.388714734,,0.9856,8.8544,0.4363,0,15.3337,0.7433,0.2424,4.6857,4.0717,3.2477,0.0485,0.1293,0.3393,0.824,0.0808,2.7953,0.0969,0.0162,9.5492,0.1777,41.1375,5.5906,0.614,,3.1032,0.0814,12.821,0,8.1055,0.8132,0.4552,11.3276,3.554,7.7443,0.0776,0.1729,0.2276,0.3503,0.0343,5.0309,0.0057,4.7518,0.028,0.0947,0.9454,3.0981,37.1774,,0.2626,25.6945,0.0346,0,15.038,2.3981,1.4444,2.1493,12.4395,8.4243,0.9468,0.6496,2.3497,0.1106,1.8037,0.1313,0.0138,0.4699,0.2211,24.3124,0.0346,0.9883,0.0829
Congo,0.5618,"47,227.54",Y,1,,,0,0,,0,12.9993,0.339,0,2.7016,0.1377,1.854,0.837,9.6514,0.053,0.678,0.339,5.0429,0.1483,0.0106,1.0806,0.5191,0,0,0.0212,36.9954,26.0091,0.5827,,8.4,40.3,0.017487456,0.000817692,0.002155733,0.014514031,5381000,,4.675876727,,1.6241,4.9805,0.065,0,12.6462,0.0433,1.1693,1.8839,3.1832,0.2815,0.1083,0.2382,1.2343,0.6063,0,17.7783,0.1299,0,3.5513,0,45.0195,4.699,0.7579,,4.9612,0.0122,6.1258,0,6.2564,0.0457,2.3945,4.0015,3.2735,0.0963,0.173,0.3044,0.3632,0.2408,0.0033,23.2457,0.0171,1.3907,0,0.0016,0.67,2.552,43.8709,,0.7335,23.8551,0.0089,0,13.2021,0.1431,7.898,0.9034,13.5599,0.5725,1.6726,1.7531,1.61,0.0089,4.9732,0.0716,0,0,0.0089,26.1449,0.0179,2.7102,0.1521
Costa Rica,12.03,"60,130.11",Y,1,,10101,0.001996245,1.996245059,,0,20.5571,6.1,0,1.6733,1.1492,0.9286,0.57,5.6449,0.0138,6.67,0.0552,1.0389,0.2436,0.0414,0.0506,0.4045,0,0.0138,0.354,29.4475,24.8736,0.1701,,25.7,4.8,0.014920949,0.000118577,0.008162055,0.006640316,5060000,,0.794701987,,1.211,11.347,1.9741,0,14.499,0.6304,0.7299,2.223,3.0358,4.8938,0.0664,0.0829,0.5309,1.775,0.0829,0.8129,0.2488,0,8.4107,0.1327,38.6695,7.9297,0.7133,,1.6982,0.1529,18.677,7.00E-04,8.6611,0.7582,1.3317,9.5203,3.8631,12.4535,0.0274,0.1161,0.2914,0.8354,0.0433,1.5676,0.3181,3.9006,0,0.0397,1.4363,2.9837,31.3238,,0.0739,28.0821,0.0739,0,12.6794,1.7744,3.5672,0.8441,10.3814,11.7861,0.499,1.4602,4.2943,0.1047,0.6099,0.5545,0,0.0123,0.1417,21.921,0.0062,1.0351,0.0986
Cote d'Ivoire,1.72,"43,007.05",Y,1,,,0,0,,0,5.3253,0.2726,0,4.9709,0.4271,1.2268,0.5271,2.5809,0.0091,0.5634,0.2545,4.8891,0.1,0.6089,1.2359,1.9357,0,0,2.3355,44.6747,27.7354,0.3272,,9,19,0.005738026,7.05E-05,0.002747511,0.002919966,25514000,,1.229508197,,0.4579,2.1612,0.0549,0,18.8278,0.1282,0.641,2.5458,0.8791,0.2747,0.0183,0.1832,1.2088,0.3846,0.2564,15.5495,0.5311,0,1.63,0.8425,47.8388,4.9451,0.641,,1.4487,0.0132,2.9144,0,11.4585,0.1587,1.3914,4.8741,0.9586,0.1285,0.0163,0.2648,0.6055,0.1727,0.1247,23.308,0.0759,0.7859,0,0.5443,0.8656,2.8098,47.0806,,0.1859,11.5833,0,0,20.0997,0.49,4.5708,1.0983,4.4187,0.6506,1.4447,2.2727,1.1406,0.4309,9.4627,1.4109,0,0,0.997,38.4167,0.0084,1.2842,0.0338
Croatia,14.91,"60,971.70",N,0,,41053,0.010124044,10.12404439,,0,29.3768,7.4457,0,2.9565,0.9476,0.5633,0.2577,11.4896,0,8.7951,0.131,1.8123,0.0175,0.0655,0.0393,2.6726,0,0,0.6987,20.6254,11.7123,0.393,,27.1,0.2,0.052083847,0.002046856,0.038471023,0.011565968,4055000,,3.929924242,,2.7404,14.6911,2.4809,0,14.2695,0.5027,0.6,1.508,5.4484,5.3997,0,0.2594,0.7297,0.1135,0.0649,1.1351,1.2162,0,7.4753,0.2757,35.317,3.843,1.9296,,4.9846,0.2296,17.311,5.00E-04,5.7726,0.3955,0.9196,3.4094,3.6945,11.8824,0,0.1889,0.3494,0.0373,0.0236,1.8078,0.2458,3.088,0,0.0761,0.3808,12.5188,32.6838,,0.642,29.7692,0.1162,0,13.4872,1.3061,3.1767,0.5811,12.7677,11.4561,0.9408,0.5866,0.2601,0.0775,0.8966,0.9242,0,0.0387,0.249,20.2335,0.0221,2.4683,0
Cuba,8.82,"100,023.00",Y,1,,61613,0.005495273,5.495272922,,0,25.9025,3.2213,0,4.4779,1.4788,0.2638,0.6179,16.0233,0.0139,4.7695,0.1458,2.6937,0.6248,0.0417,0.3749,0.1458,0,0,0.0069,24.0975,14.5446,0.5554,,26.7,0.4,0.015028541,0.000615412,0.008508741,0.005904388,11212000,,4.09495549,,0.9825,7.6111,0.6159,0,19.607,0.4693,0.1466,3.2116,4.2968,1.9651,0.0293,0.1027,0.8506,2.5957,0.0147,3.4609,0.0587,0,7.5964,0,42.3962,2.713,1.2758,,2.0589,0.1202,10.0096,0,9.9309,0.5263,0.3368,9.0347,3.2837,5.5971,0.0787,0.1456,0.5346,1.1336,0.0089,5.1555,0.0657,3.1617,0,6.00E-04,0.4535,8.374,39.9895,,0.1187,18.4193,0.0057,0,17.5712,1.3795,0.8706,1.1703,11.1771,4.3024,0.6841,2.6063,6.5242,0.0283,1.2438,0.1753,0,0,0,31.5807,0,2.1088,0.0339
Cyprus,28.16,"24,961.99",N,0,,,0,0,,0,20.9578,1.8698,0,3.4616,1.0044,0.7309,0.3632,10.5506,0.1614,6.6945,0.1031,2.1164,0.0628,0.0538,0.0404,1.9236,0,0,0.8609,29.0467,19.7381,0.2601,,22.6,5.6,0.07024,0.0012,0.02368,0.04536,1250000,,1.708428246,,1.6826,12.8681,0.7075,0,15.392,0.5927,0.8604,1.9312,5.9847,4.5698,0.631,0.1338,1.0134,0.5354,0.0765,0.9943,1.0325,0,4.4933,0.4015,37.1511,7.4379,1.5105,,3.4447,0.0277,16.1736,0.0015,7.0646,0.5746,1.8209,6.198,5.3167,8.2744,1.4858,0.1584,0.4089,0.211,0.0307,1.7705,0.2387,4.2194,0,0.1781,1.1937,7.3888,33.8191,,0.2117,28.43,0.0436,0,13.695,1.4698,4.2661,0.8657,14.6478,7.3613,0.6352,1.1335,1.1335,0.081,0.5418,0.6415,0,0.0062,0.4048,21.5669,0.0125,2.1548,0.6975
Czechia,23.08,"245,225.88",N,0,,291136,0.027285473,27.28547329,,0,25.1685,9.7011,0,1.1998,0.8222,0.3,0.187,8.6212,0.0212,5.6463,0.0776,0.4941,0.0353,0.0635,0.0565,0.9563,0,0,0.4164,24.8333,21.2267,0.1729,,28.5,1.3,0.074001874,0.002408622,0.037544517,0.034048735,10670000,,3.254812563,,4.8993,14.0415,3.8156,0,11.4011,0.5037,0.29,1.2821,5.0366,4.2735,0.1068,0.1068,0.2442,0.29,0.0763,1.7705,0.5037,0,6.1661,0.1984,35.9737,8.1197,0.9005,,9.8498,0.8945,17.8065,6.00E-04,5.6937,0.4964,0.5355,3.3962,4.7618,10.983,0.1099,0.134,0.0949,0.1139,0.0316,3.3991,0.134,3.8081,0,0.0477,0.9854,4.5289,32.1944,,1.1737,30.7412,0.3469,0,12.3208,1.4801,1.5611,0.5608,14.7375,11.9392,0.6765,0.3238,0.7227,0.0925,1.5842,0.5666,0,0.0173,0.2024,19.2588,0.0578,1.4801,0.1561
Denmark,61.35,"355,675.33",N,0,,270680,0.046516584,46.51658361,,0,35.4131,14.2498,0,1.4741,1.7484,1.1313,0.5257,9.2408,0,8.8142,0.2285,0.7161,0.0152,0.1752,0.0533,1.6874,0,0,1.1846,14.585,8.4752,0.2819,,21.3,2,0.17217735,0.008644097,0.128750644,0.034782609,5819000,,5.020461124,,2.4239,17.7505,5.0547,0,13.3757,0.9607,0.9459,1.5814,5.0103,5.439,0,0.3252,0.3104,0.1035,0.1921,1.6553,0.8868,0,7.1386,0.5025,32.2643,2.9116,1.1676,,4.8866,1.2415,23.2141,0.001,6.7226,0.8206,1.1797,3.1098,3.6804,15.9557,0,0.3347,0.1185,0.0369,0.0774,3.1113,0.4069,2.8728,0,0.1138,0.0915,5.2431,26.7812,,0.3937,32.3912,0.4246,0,12.04,2.3133,3.7288,0.5485,12.5265,12.009,1.3889,0.3185,0.1902,0.1902,0.9731,0.9245,0,0.0044,0.4423,17.6088,0.0575,1.526,0
Djibouti,3.08,"2,955.91",Y,1,,,0,0,,0,11.1065,1.3966,0,4.3977,0.2494,0.291,0.1247,5.121,0.1413,3.8573,0.1912,0.4323,0.557,0.3159,0.0333,0.5653,0,0,0.4157,38.8977,31.449,0.4572,,12.2,18.9,0.114989733,0.000205339,0.076488706,0.038295688,974000,,0.178571429,,0.1306,3.7127,0.2799,0,27.8918,0.0746,0.1493,0.7836,1.4925,1.5858,0.2799,0.1306,0.1119,2.3881,0.2052,0.5597,0.2052,0,6.1754,0.0933,46.2873,6.25,1.2127,,0.3778,0.0579,5.5215,0,20.2702,0.1275,0.4276,3.2735,1.7428,2.9085,1.1831,0.2572,0.0568,1.5724,0.1506,1.8633,0.1309,4.2005,0,0.0406,1.6153,9.7637,44.4582,,0.0225,9.6191,0.0225,0,29.5547,0.2399,0.8097,0.3674,4.3035,3.4863,0.7647,0.2549,6.2828,0.2699,0.5248,0.1949,0,0,0.105,40.3809,0.0075,2.4142,0.3749
Dominican Republic,8.05,"85,555.39",Y,1,,,0,0,,0,15.2779,2.2261,0,1.4528,1.1248,0.2484,3.6133,7.3718,0.0422,4.1194,0.1875,2.9103,0.1921,0.0609,0.0797,0.2906,0,0,0.0703,34.7221,25.8881,0.1218,,26.9,9.5,0.081538462,0.003403846,0.018317308,0.059817308,10400000,,4.174528302,,1.589,8.6782,0.7508,0,13.3054,0.6286,0.2968,7.421,3.7716,2.9859,0.1921,0.2445,1.1524,1.5017,0.0524,1.3794,0.1746,0,5.413,0.0349,41.3305,8.521,0.5762,,3.21,0.1122,11.2417,6.00E-04,6.9232,0.6445,0.6059,18.4431,3.5009,6.1202,0.0906,0.2567,1.1395,0.5881,0.026,2.0198,0.142,2.1332,0,0.0108,1.2948,2.7385,38.7577,,0.4784,25.6914,0.0224,0,13.1111,2.0631,2.0182,3.5207,12.9167,7.1386,1.5324,0.7774,3.7823,0.0747,0.8073,0.4111,0,0,0.0374,24.3086,0,0.9643,0.3438
Ecuador,6.34,"108,398.06",Y,1,,42870,0.002482627,2.482626824,,0,20.9283,4.7198,0,3.6672,1.0246,0.2519,0.4367,8.7453,0.028,6.0803,0.1008,0.8566,0.0616,0.0392,0.084,0.1848,0,0,0.0784,29.0745,23.5541,0.084,,19.3,7.9,0.184624739,0.009086171,0.019880704,0.155657864,17268000,,4.921426555,,0.9275,9.7391,1.4879,0,23.4396,0.5411,0.2512,2.5894,3.9227,3.4203,0.0966,0.1353,0.3671,0.3285,0.0386,1.0242,0.0773,0,3.6908,0.0386,40.2319,7.1884,0.4638,,3.2929,0.1277,15.3469,0.0328,14.9132,0.6902,0.6893,8.039,4.0115,9.5745,0.1526,0.22,0.1765,0.157,0.0177,2.2701,0.0071,1.737,0,0.016,1.3777,2.4981,34.6522,,0,22.7577,0.0988,0.0076,22.6665,1.6038,1.6494,1.1022,11.09,7.3579,0.9425,0.6385,0.8893,0.0532,0.8665,0.0532,0,0,0.0304,27.2423,0.0152,0.7753,0.1596
Egypt,2.55,"250,894.76",Y,1,,,0,0,,0,15.9979,3.4231,0,13.4988,0.8448,1.32,0.7216,6.4678,0.0088,3.6343,0.2992,4.4615,0.1584,0.2376,0.1936,0.0792,0.0704,0,0.2992,34.0109,13.6132,0.66,,31.1,4.5,0.007269038,0.000456271,0.001746346,0.005066422,99064000,,6.276905985,,0.0301,4.1999,0.5269,0,32.2144,0.1957,0.6322,2.5591,1.6408,0.9935,0.0151,0.2107,0.7828,0.6624,0.1204,1.2645,0.0452,0.3462,4.0644,0.0602,45.7926,2.0623,1.5806,,0.0722,0.0896,6.7374,0,17.5311,0.2307,1.5844,6.9387,1.7583,2.7568,0.0187,0.317,0.6541,0.3063,0.0655,2.6919,0.0863,1.7984,2.0338,0.0268,0.3839,10.6559,43.2622,,0.0052,12.4994,0.0467,0,30.3504,0.5243,3.4934,1.0849,5.1077,2.0919,1.2302,0.5969,1.6818,0.2128,0.6696,0.2024,0.1298,0,0.0467,37.5032,0.0052,2.4916,0.026
El Salvador,4.06,"26,057.00",Y,1,,35411,0.005486675,5.48667493,,0,23.3032,6.3901,0,8.1958,1.6034,0.4514,1.4321,6.6547,0.1012,8.1491,0.0545,5.0669,0.5837,0.0311,0.1401,0.3269,0,0,0.1167,26.6968,10.2506,0.4514,,22.7,9,0.009095135,0.00021692,0.003176325,0.00570189,6454000,,2.385008518,,0.9019,7.9857,1.3717,0,22.6043,0.5825,0.2818,1.9917,2.2924,3.4198,0.2443,0.0564,1.4092,2.95,0.0188,1.2026,0.1691,0,7.1965,0.0376,41.9955,2.1984,1.0898,,2.1651,0.1113,12.888,0,11.7265,0.7533,0.573,5.9517,2.6337,8.7381,0.592,0.0794,1.4273,1.4661,0.0121,2.2462,0.2649,3.526,0,0.0155,0.4565,7.2703,37.1029,,0.1203,17.3405,0.0468,0,20.588,1.5904,1.4701,0.7952,6.8961,7.0364,0.3074,1.3699,6.8426,0.0267,0.7551,0.294,0,0,0.0334,32.6495,0.0267,1.5035,0.3074
Estonia,23.27,"30,732.14",N,0,,60479,0.045541416,45.54141566,,0,33.219,6.5339,0,2.8982,1.583,0.2818,0.3805,10.4279,0.0188,14.275,0.1174,0.3664,0.0658,0.1926,0.0892,2.7855,0,0,1.2495,16.7833,8.4457,0.2865,,23.8,2.9,0.128840361,0.004141566,0.019653614,0.105045181,1328000,,3.214494448,,4.839,15.3336,1.9572,0,16.2121,0.7397,0.339,1.5411,4.3612,7.8132,0.0462,0.1387,0.1387,0.4315,0.1541,2.25,1.125,0,3.7756,0.4469,34.6741,2.4503,1.2329,,6.1949,0.4556,22.3154,5.00E-04,6.3498,0.6145,0.7127,3.5061,3.081,17.3068,0.1501,0.1457,0.0518,0.1472,0.0576,3.2403,0.2121,2.3886,0,0.0886,0.3472,4.9558,27.6779,,0.5907,28.6013,0.2233,0,15.0751,1.7071,1.735,0.5023,8.8097,15.424,0.7024,0.1861,0.8559,0.1674,1.3582,0.7535,0,0.0047,0.3582,21.401,0.0233,1.4745,0.0465
Eswatini,4.15,"4,710.62",Y,1,,,0,0,,0,20.8055,3.1415,0,12.0023,0.4718,0.3682,0.4718,11.1162,0.1151,5.4315,0.2762,3.4062,0.2071,0.817,0.3222,0.0575,0,0,0.6559,29.1945,10.9436,0.1956,,13.5,20.6,0.010857664,9.12E-05,0.001094891,0.009671533,1096000,,0.840336134,,1.5593,5.5925,0.5198,0,27.5468,0.1247,0.1663,1.4969,2.7651,1.8295,0.1663,0.1663,0.7277,0.7277,0.3326,2.8274,0.0416,0,6.7152,0.1247,44.4075,1.7464,0.4158,,6.2239,0.1024,7.4118,0.0019,14.7814,0.1578,0.3643,8.5537,2.5917,3.9299,0.6695,0.262,0.3005,0.3578,0.1615,5.3187,0.0648,3.1796,0,0.0892,0.3258,2.5701,42.5816,,0.6034,14.768,0.0489,0,27.0081,0.4077,0.9296,0.7421,8.8396,3.4086,1.1253,1.3129,1.8511,0.4322,1.9979,0.1468,0,0,0.1794,35.2361,0,0.7747,0.1876
Ethiopia,0.7723,"84,355.60",Y,1,,26517,0.000236592,0.236592047,,0,11.1691,1.4358,0,11.3929,0.2238,0.0559,0.4102,4.1768,0,5.1091,0.1678,2.6851,2.5545,2.6851,0.8018,0.0186,0,0,0.7459,38.8216,17.4156,0.1305,,3.6,20.6,0.000129373,3.57E-06,8.12E-05,4.46E-05,112079000,,2.75862069,,0.4774,2.0182,0.1519,0,31.5321,0.0434,0.0217,0.2821,0.651,1.1068,0,0.0651,0.4123,4.4705,0.5859,6.1198,0.0651,0,1.8663,0.0868,47.9601,1.8012,0.2821,,2.4543,0.0276,5.2956,0,22.0779,0.0594,0.0608,1.1774,0.7462,4.2647,0.018,0.1382,0.2322,3.0195,0.4298,11.2918,0.2957,1.317,0,0.0802,0.4699,1.8449,44.6989,,0.1676,4.4561,0.0076,0,29.7303,0.099,0.1066,0.1143,1.6834,2.1938,0.3656,0.8074,10.748,0.7693,2.3461,0.3047,0,0,0.0838,45.5515,0,0.457,0.0076
Fiji,6.27,"5,536.76",Y,1,,,0,0,,0,20.0472,7.6883,0,1.5114,0.5773,1.4694,0.084,8.423,0.0262,1.7948,0.0945,8.9635,0.2991,0.1312,0.3569,0.4408,0,0,0.1469,29.9554,17.8168,0.1732,,30,3.7,0.002017937,0,0.001569507,0.00044843,892000,,0,,0.7322,8.4795,2.2476,0,18.1338,0.2724,1.1238,0.63,3.5587,1.1749,0.0681,0.1192,3.5076,1.8219,0.1192,4.3419,0.2384,0,5.9254,0.0511,41.512,5.1081,0.8343,,1.8598,0.2922,7.8511,0.0021,10.144,0.2682,2.3832,2.1636,3.0004,1.7421,0.2586,0.1642,4.3799,0.7746,0.05,7.8599,0.1238,9.7259,0,0.0157,0.8683,3.9255,42.1469,,0.2232,21.1078,0.2435,0,16.8335,0.8386,6.3303,0.3043,10.1515,2.7323,0.8116,1.8734,4.6936,0.1826,2.7797,0.3382,0,0,0.0609,28.8922,0.0203,1.5014,0.0812
